Model ID,tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
1,2,0.25,10,250,100,20,0,0.001562524,1917.286,7.238271401,7.707609981,7959228
2,6,0.01,6,500,300,1,0.1,0.001562524,1154.394,5.988706707,12.47707555,75983946
3,2,0.1,2,100,20,1,0,0.000880527,739.4127917,16.98190845,16.44134702,1588069
4,6,0.01,12,500,300,20,0,0.001562381,11563.35879,7.267006821,8.06162524,152996020
5,4,0.1,3,300,20,20,0.1,0.001562595,1202.207371,11.89585669,11.10908935,9555650
6,6,0.25,6,250,20,20,0,0.002157402,1439.673648,3.590548813,8.237477085,76185769
7,6,0.01,14,100,100,1,0,0.002382112,776.4049585,3.190822792,12.68434928,176839440
8,4,0.1,10,250,20,20,0,0.002582169,3083.574658,6.178042554,7.514919052,31819557
9,4,0.01,10,100,100,40,0,0.003124213,5843.139786,11.89677266,11.05161899,31803615
10,2,0.01,6,100,100,20,0,0.003125548,1203.821357,18.02788742,16.12641124,4763646
11,2,0.01,10,500,100,1,0,0.003125715,385.1875324,15.28609363,14.47950062,8008075
12,6,0.01,6,250,20,20,0.25,0.003126335,1663.229122,16.15634813,14.81797929,76357579
13,2,0.25,6,250,100,20,0.25,0.003127384,1411.324543,12.4099573,11.59949119,4775901
14,4,0.1,10,100,100,1,0,0.003127599,464.2745245,1.994228066,12.80279438,31712175
15,6,0.01,6,100,100,20,0.25,0.003128743,2897.070623,15.85043792,14.51558027,76342640
16,2,0.25,12,250,100,1,0,0.003782415,403.9926686,3.728849984,9.621712746,9541324
17,2,0.25,12,500,100,20,0,0.004675126,2368.483382,6.406366262,7.059410538,9609708
18,6,0.25,14,500,300,20,0.1,0.009373951,13449.26791,1.040485864,6.91357912,177583422
19,2,0.25,10,250,100,1,0.25,0.004695177,825.718015,4.301910978,9.727755691,7951253
20,2,0.1,14,250,100,20,0.1,0.004686928,2726.381479,8.131316767,7.912341958,11143257
21,4,0.01,8,250,100,20,0.1,0.003224826,2685.043607,12.81339415,11.56037807,25459352
22,6,0.1,14,500,20,40,0.1,0.00493,5883.427319,2.687787369,6.584569949,178486761
23,2,0.1,12,1000,20,20,0.25,0.003559,1583.54,11.79521,10.81727,9701410
24,2,0.01,8,250,20,40,0,0.001889491,1570.844189,17.27215612,15.43123485,6367793
